birthyear,birthSex,ethnicityomb,raceomb_002,dscore,Mn_RT_all_3467,N_3467,PCT_error_3467,pct_300,pct_400,pct_2K,pct_3K,pct_4K,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,countrycit_num,countryres_num,edu,edu_14,politicalid_7,religion2014,religionid
1954,1,2,6,-0.754548489,992.4833333,120,1.666666667,0,0,2.5,0,0,4,4,4,5,2,8,7,1,1,2,1,0,884.45,879.825,1324.15,993.325,884.45,879.825,1178.5,993.325,0,0,2,0,1,1,12,12,4,5,2
2001,2,2,3,-0.740119252,909.075,120,5.833333333,0,0,3.333333333,0.833333333,0.833333333,4,4,5,4,2,11,1,1,1,2,1,0,734.3157895,672.625,1013.85,940.925,734.3157895,649.6842105,1014.263158,931.8888889,0,2,1,4,1,1,4,4,7,4,1
1996,2,3,5,-0.733526697,851.7,120,8.333333333,0,0,4.166666667,0.833333333,0,4,1,4,4,2,1,2,1,1,5,1,4,712.25,674.65,1408.95,819.85,712.25,640.1315789,1095.5625,780.9444444,0,2,4,4,83,83,4,4,4,3,3
1977,1,2,6,-0.733209541,2140.558333,120,5.833333333,0,0,45.83333333,16.66666667,5.833333333,4,4,4,4,1,11,5,1,1,2,1,0,1781.5,1749.775,2667.3,2447.5,1781.5,1664.081081,2551.947368,2296.162162,0,3,1,3,1,1,12,12,4,7,1
1977,2,1,6,-0.731491558,984.6333333,120,4.166666667,0,0,4.166666667,0,0,6,3,4,4,2,11,7,1,1,2,1,1,836.2,791.95,1056.85,1215.425,836.2,777.6666667,1056.85,1078.75,0,1,0,4,200,1,10,10,7,7,1
2002,1,2,6,-0.728634695,1129.475,120,11.66666667,0,0,6.666666667,0,0,4,4,3,3,2,1,1,1,2,5,2,2,1505.85,1156.825,1115.9,920.725,1475.473684,1134.194444,1094.941176,883.3529412,1,4,3,6,1,1,3,3,2,3,3
1976,2,2,6,-0.727656559,1230.725,120,6.666666667,0,0,12.5,6.666666667,0.833333333,2,5,4,3,2,4,4,1,1,2,1,4,919.65,1036.95,1489.6,1450.6,919.65,862.027027,1489.6,1190.771429,0,3,0,5,1,1,8,8,7,3,4
1976,2,2,6,-0.726133601,987.1333333,120,0,0,0,0,0,0,6,6,4,5,1,11,8,1,1,2,1,4,1098.3,1144.875,1053.8,740.475,1098.3,1144.875,1053.8,740.475,0,0,0,0,1,1,12,12,3,2,4
1967,1,1,6,-0.724953306,1551.033333,120,23.33333333,0,0,20,8.333333333,5,3,3,3,5,2,7,8,1,1,2,1,0,2646,1574.4,1464,1023.7,1116.846154,1094.84,1261.8125,983.7368421,7,15,4,2,1,1,7,7,3,2,2
1998,1,2,6,-0.724322627,763.4333333,120,4.166666667,0,0.833333333,1.666666667,0,0,4,4,4,5,2,5,7,1,1,2,1,0,655.25,591.875,908.8,916.4,597.0588235,582.3846154,830.1578947,916.4,3,1,1,0,1,1,6,6,2,3,4
1967,2,2,6,-0.723319473,1433.466667,120,2.5,0,0,11.66666667,5.833333333,4.166666667,4,4,4,4,2,6,6,1,2,2,1,0,2907.45,1221.35,1172.45,1039.1,2907.45,1213.846154,1172.45,1010.078947,0,1,0,2,1,1,4,4,6,7,1
1989,1,2,6,-0.719317444,1279.408333,120,4.166666667,0,0.833333333,15,9.166666667,3.333333333,4,4,4,3,2,4,11,1,1,2,1,1,1051.65,762.85,2021.15,1189.333333,1048.631579,727.2162162,1960.631579,1189.333333,1,3,1,0,1,1,7,7,4,7,1
1945,1,2,6,-0.713273025,1856.3,120,8.333333333,0,0,30.83333333,8.333333333,0.833333333,4,7,5,5,2,7,10,1,2,2,1,0,1517.4,1711.15,2492.25,1852.925,1517.4,1567.722222,2384.055556,1730.277778,0,4,2,4,1,1,9,9,6,5,4
1999,1,2,6,-0.708068539,648.0083333,120,5.833333333,0,0,0,0,0,6,4,3,5,2,6,1,1,2,2,1,0,773.35,669.35,578.75,598.625,749.8333333,631.8108108,578.75,580.9473684,2,3,0,2,1,1,5,5,5,7,1
2005,2,3,6,-0.706774887,573.35,120,21.66666667,37.5,40,2.5,1.666666667,0,4,3,5,5,2,11,1,1,1,2,1,0,824.85,639.7,1084.3,125.775,824.85,612.9189189,1111.615385,93.5,0,3,7,16,1,1,3,3,7,8,2
1979,2,2,2,-0.704248396,1103.916667,120,8.333333333,0,0,10,3.333333333,1.666666667,6,1,4,5,1,10,1,1,1,2,1,4,952.45,832.05,1666.9,1170.025,908.1052632,821.0512821,1332.117647,953.2571429,1,1,3,5,1,1,7,7,7,7,1
1987,2,2,6,-0.701137169,1170.808333,120,15,0,0,10,5.833333333,1.666666667,4,4,5,5,1,5,7,1,1,2,1,0,1987.45,1209.9,828.65,894.475,2025.631579,1209.583333,796.875,834.516129,1,4,4,9,39,39,5,5,4,3,3
2005,1,2,2,-0.700136456,877.0666667,120,9.166666667,0,0,4.166666667,0.833333333,0,6,6,4,5,2,7,1,1,2,2,1,1,800.4,714.675,1251.25,890.7,722.1666667,700.1621622,1252.052632,845.3142857,2,3,1,5,1,1,3,3,6,7,2
2000,2,2,6,-0.69902958,1109.841667,120,8.333333333,0,0,7.5,0.833333333,0,4,4,4,4,2,1,2,1,1,5,1,0,1032.3,894.425,1486.1,1175.9,1001.764706,853.6666667,1478.157895,1140.868421,3,4,1,2,1,1,5,5,5,3,4
1997,1,2,2,-0.698611821,867.5333333,120,14.16666667,0,0,2.5,0,0,5,4,5,5,2,6,2,1,1,2,1,1,751.1,722.95,943.85,1032.175,709.8947368,666.6666667,939.0588235,982.6470588,1,7,3,6,1,1,5,5,4,3,1
1982,1,2,6,-0.697948252,1437.775,120,2.5,0,0,20.83333333,6.666666667,2.5,4,4,5,5,1,9,9,1,2,2,1,0,1703.9,1831.95,1344,957.425,1703.105263,1831.95,1344,946.8157895,1,0,0,2,1,1,7,7,4,2,2
